Zone-1,Zone-2,Zone-3,Zone -4,Zone-5,Zone-6,Zone-7
2.34551,3.23431,0.915423,1.009948,0.965805,1.418824,1.060227
1.19637,1.85714,1.284462,1.423924,1.350704,1.710092,1.248108
1.6264,1.46322,1.491306,1.629466,1.615678,1.714385,1.21857
1.17005,2.73156,1.479147,1.560488,1.67932,1.559808,1.052642
1.55562,1.53257,1.372025,1.460327,1.558187,1.362399,0.900788
1.06342,1.9848,1.260831,1.338593,1.397982,1.205606,0.805041
1.15684,1.57697,1.018118,1.078696,1.128057,1.068314,0.702045
0.586342,0.80912,0.768063,0.812617,0.852611,0.792477,0.503513
0.478148,1.26265,0.513548,0.539835,0.569144,0.651791,0.39398
0.825855,0.44368,0.426298,0.445636,0.470853,0.593944,0.345108
0.404548,0.403569,0.389108,0.405384,0.428748,0.56015,0.315679
0.392154,0.389219,0.37499,0.390992,0.414226,0.542879,0.301947
0.413098,0.374667,0.361137,0.376316,0.399161,0.558948,0.320692
0.4768,0.415955,0.399613,0.41706,0.4431,0.641264,0.382858
0.700422,0.629536,0.583381,0.62202,0.686408,0.929111,0.57939
1.28106,1.75584,0.777076,0.856003,0.997052,1.042792,0.709656
3.78492,3.15113,1.213747,1.284752,1.402237,1.590573,1.273904
2.7471,5.12962,0.590005,0.623017,0.671127,1.13551,0.839701
1.39001,1.05454,0.595674,0.622127,0.65709,1.204574,0.851199
0.938447,0.652185,0.622757,0.649209,0.683767,1.190007,0.870327
1.45993,1.76004,0.608426,0.634685,0.668994,1.159837,0.864751
0.884032,0.633492,0.604127,0.632404,0.665975,1.109666,0.827223
0.862312,0.648521,0.622893,0.657125,0.684101,1.101915,0.817782
0.864461,0.662191,0.654147,0.707179,0.709764,1.147392,0.863226
0.96016,1.43453,0.868288,0.962813,0.91867,1.308009,1.013092
1.62018,1.21774,1.284462,1.423924,1.350704,1.630209,1.248108
1.88642,3.30285,1.491306,1.629466,1.615678,1.634319,1.21857
1.15367,1.5814,1.479147,1.560488,1.67932,1.488574,1.052642
1.10539,1.68059,1.372025,1.460327,1.558187,1.303636,0.900788
1.00074,1.64984,1.260831,1.338593,1.397982,1.149485,0.805041
0.78164,1.0742,1.018118,1.078696,1.128057,1.02353,0.702045
0.581043,0.80912,0.768063,0.812617,0.852611,0.749382,0.503513
0.869454,0.537471,0.513548,0.539835,0.569144,0.610845,0.39398
0.428863,0.44368,0.426298,0.445636,0.470853,0.546933,0.345108
0.401056,0.403569,0.389108,0.405384,0.428748,0.509927,0.315679
0.388843,0.389219,0.37499,0.390992,0.414226,0.493781,0.301947
0.409101,0.374667,0.361137,0.376316,0.399161,0.518037,0.320692
0.474061,0.415955,0.399613,0.41706,0.4431,0.611963,0.382858
0.697021,0.629536,0.583381,0.62202,0.686408,0.886294,0.57939
0.811376,1.21683,0.777076,0.856003,0.997052,1.01445,0.709656
0.867298,0.867018,0.715486,0.786491,0.903976,1.075691,0.775643
0.91407,0.629363,0.590005,0.623017,0.671127,1.144726,0.839701
1.33281,0.625272,0.595674,0.622127,0.65709,1.178728,0.851199
0.933171,0.652185,0.622757,0.649209,0.683767,1.171412,0.870327
0.922368,0.63756,0.608426,0.634685,0.668994,1.145551,0.864751
0.876034,0.633492,0.604127,0.632404,0.665975,1.094545,0.827223
0.858472,1.0951,0.622893,0.657125,0.684101,1.07939,0.817782
0.860373,0.662191,0.654147,0.707179,0.709764,1.119196,0.863226
1.41401,1.35521,0.868288,0.962813,0.91867,1.27401,1.013092
1.16876,1.21774,1.284462,1.423924,1.350704,1.582333,1.248108
1.19266,1.46322,1.491306,1.629466,1.615678,1.600966,1.21857
1.63919,2.60485,1.479147,1.560488,1.67932,1.455654,1.052642
1.09637,1.53257,1.372025,1.460327,1.558187,1.268147,0.900788
0.991463,1.33302,1.260831,1.338593,1.397982,1.111652,0.805041
0.770164,1.0742,1.018118,1.078696,1.128057,0.98063,0.702045
0.568644,0.80912,0.768063,0.812617,0.852611,0.704304,0.503513
0.460323,0.537471,0.513548,0.539835,0.569144,0.56964,0.39398
0.411128,0.44368,0.426298,0.445636,0.470853,0.510884,0.345108
0.382785,0.403569,0.389108,0.405384,0.428748,0.478087,0.315679
0.370057,0.389219,0.37499,0.390992,0.414226,0.466012,0.301947
0.391088,0.768482,0.361137,0.376316,0.399161,0.488248,0.320692
0.84767,0.415955,0.399613,0.41706,0.4431,0.572548,0.382858
0.667398,0.629536,0.583381,0.62202,0.686408,0.856625,0.57939
0.790706,0.881473,0.777076,0.856003,0.997052,0.982794,0.709656
1.27283,1.69299,0.715486,0.786491,0.903976,1.041371,0.775643
0.919068,0.629363,0.590005,0.623017,0.671127,1.114457,0.839701
