Zone-1,Zone-2,Zone-3,Zone-4,Zone-5,Zone-6,Zone-7
27.189939,37.610994,29.982845,31.609665,34.620315,28.221058,22.31916
24.824649,36.162378,27.671796,29.437836,31.946915,25.18837,20.13615
24.909216,43.643259,24.823655,26.378895,27.646201,21.863282,17.758649
18.872539,35.576037,20.011149,21.222709,22.300798,19.038327,15.469973
36.387291,50.826318,15.516723,16.407803,17.647207,13.754632,11.964963
18.64966,32.679164,10.612602,11.138342,12.244665,11.108234,10.008969
31.603438,34.178955,8.631554,9.018314,9.781746,9.422945,8.495512
19.823076,12.598002,7.874675,8.200195,8.778466,8.193959,7.275689
19.125383,9.37842,7.680822,8.000862,8.582521,7.435837,6.552387
8.357789,8.58665,7.470672,7.774252,8.292102,7.409003,6.502156
9.344313,13.742187,8.535716,8.884656,9.475414,8.843178,7.429522
15.119443,15.320761,12.034747,12.807527,13.979337,12.974149,10.545811
15.100468,23.882207,15.550278,17.128818,19.499878,15.214944,12.161126
17.747726,17.706492,14.265433,15.685533,17.556215,16.397245,13.135056
17.500276,15.098914,11.502543,12.162783,12.635033,17.528493,14.305211
18.23377,12.313863,11.748843,12.277903,12.633082,18.361105,15.199372
17.702754,14.594074,12.473597,13.002637,13.551351,19.137496,16.144291
20.447783,14.646135,12.141322,12.666502,13.29855,19.718536,16.767901
21.804069,19.639582,13.185715,13.751255,14.011841,20.258323,17.366388
23.571598,21.226659,13.704601,14.389241,15.376377,20.189487,17.164365
26.906422,29.771811,15.324147,16.384787,16.837355,21.315867,18.811316
30.881219,31.433471,18.5442,20.4347,18.822578,23.93484,20.712133
35.793997,45.159047,25.233722,28.022962,25.551835,28.334684,23.912373
35.835355,42.880314,29.62865,32.39185,32.22305,30.171235,24.555089
37.912924,47.880569,30.182618,31.809438,35.153043,29.21375,23.529294
32.438134,36.693759,27.671796,29.437836,31.946915,25.905145,20.823561
28.108253,31.636914,24.823655,26.378895,27.646201,22.129646,17.958422
19.324292,23.879279,20.035737,21.247297,22.331533,19.038327,15.469973
14.601853,17.660342,15.549916,16.440996,17.690235,13.754632,11.964963
11.462888,11.996099,10.676531,11.202271,12.271712,11.132822,10.033557
10.180608,11.832738,8.688104,9.074864,9.816168,9.462285,8.516411
11.541981,9.400728,7.934916,8.260436,8.855917,8.236988,7.326095
9.22101,11.716855,7.729999,8.050039,8.647683,7.492388,6.618772
10.717712,17.642286,7.54936,7.85294,8.379397,7.47416,6.568544
10.518125,20.155341,8.680799,9.029739,9.630327,8.898504,7.479929
26.852603,37.117383,12.299087,13.071867,14.236299,13.051607,10.618349
18.681075,33.521016,15.98429,17.56283,19.885941,15.361254,12.290225
28.462663,34.878287,14.877715,16.297815,18.100881,16.65175,13.361283
25.649598,22.254657,12.285727,12.945967,13.3217,17.936685,14.690045
24.87716,21.243427,12.629769,13.158829,13.421178,18.946342,15.757557
25.789971,29.169503,13.009635,13.538675,13.938774,19.880104,16.878293
21.881587,31.322582,12.729462,13.254642,13.78848,20.570569,17.626698
25.41077,39.309327,13.031605,13.597145,14.482896,20.778379,17.9055
37.695423,38.690143,13.551731,14.236371,15.102752,20.688638,17.965522
34.100824,44.29011,14.660064,15.720704,16.09042,21.555825,18.778162
38.393696,38.398611,18.117177,20.007677,19.00372,23.537389,20.442106
37.351213,45.457774,24.910631,27.699871,25.321283,27.787118,23.518484
37.799754,33.554214,29.783417,32.546617,31.910951,29.912861,24.134642
29.131779,40.041794,30.624639,32.251459,35.273788,28.890517,22.990462
26.659436,35.386757,28.291457,30.057497,32.55982,25.836922,20.784087
23.539069,32.02599,25.386151,26.941391,28.174881,22.507534,18.399215
21.236291,24.814526,20.464831,21.676391,22.745868,19.657377,16.08533
14.622182,20.906471,15.833932,16.725012,18.036958,14.306673,12.536062
14.046189,13.097003,10.80194,11.32768,12.532366,11.566834,10.505685
12.827776,12.058635,8.732366,9.119126,9.9342,9.77458,8.86682
11.819609,9.400494,7.934916,8.260436,8.855917,8.418954,7.495766
9.918831,8.756209,7.729999,8.050039,8.647683,7.551404,6.663034
9.768254,12.647569,7.54936,7.85294,8.379397,7.47416,6.568544
10.163067,13.36362,9.117623,9.466563,10.176357,8.898504,7.479929
15.365961,21.563246,12.626705,13.399485,14.673123,13.051607,10.618349
19.709544,25.10679,16.748732,18.327272,19.885941,15.798078,12.727049
19.329041,24.579941,15.519801,16.939901,18.821584,17.088574,13.470489
22.531301,18.230589,12.849196,13.509436,14.509816,18.264303,15.345281
24.841291,19.047284,13.180088,13.709148,13.421178,19.80684,16.727261
24.122937,16.86155,13.245486,13.774526,14.174625,20.631396,17.284528
23.335152,17.518683,12.965313,13.490493,14.417416,20.80642,18.0984
22.735934,14.255217,13.031605,13.597145,14.482896,21.171464,18.377202
22.081201,13.968833,13.551731,14.236371,15.102752,21.003106,18.201373
19.821166,17.068197,14.660064,15.720704,16.09042,21.555825,18.778162
19.649962,19.119829,18.117177,20.007677,19.00372,23.537389,20.442106
24.924376,29.774104,24.910631,27.699871,25.321283,27.787118,23.518484
24.687074,36.854864,30.313389,33.076589,32.573416,29.912861,24.134642
27.69808,40.436497,31.022118,32.648938,35.80376,28.890517,22.990462
34.544706,43.524282,29.218908,30.984948,32.55982,26.366894,21.314059
26.945057,35.482038,25.78363,27.33887,28.57236,23.037506,18.531708
26.754685,42.549256,20.837722,22.049282,23.775077,20.054856,16.880288
22.761282,32.829256,15.800739,16.691819,17.99393,14.969138,13.33102
30.78718,39.699801,10.738011,11.263751,12.505319,12.072218,10.878576
19.055838,27.885965,8.675816,9.062576,9.899778,9.73524,8.845921
23.974721,26.654514,7.874675,8.200195,8.778466,8.375925,7.44536
16.926675,21.508233,7.680822,8.000862,8.582521,7.494853,6.596649
14.594477,28.861542,7.470672,7.774252,8.292102,7.409003,6.502156
33.620891,51.5469,8.535716,8.884656,9.475414,8.843178,7.429522
36.52433,62.990784,12.034747,12.807527,13.979337,12.974149,10.545811
47.42257,73.61818,15.550278,17.128818,19.499878,15.214944,12.161126
46.249496,64.330422,14.265433,15.685533,17.556215,16.397245,13.135056
49.23082,45.53842,11.502543,12.162783,12.635033,17.528493,14.305211
40.773854,43.699288,11.748843,12.277903,12.633082,18.361105,15.199372
32.425351,31.372609,12.090593,12.619633,13.072596,19.137496,16.144291
32.763898,27.789507,11.854069,12.379249,12.915546,19.718536,16.767901
27.557211,12.8306,12.202314,12.767854,13.620411,19.875319,16.983384
22.909846,20.358034,12.98721,13.67185,14.53188,19.806483,17.068614
18.42375,20.562168,14.076068,15.136708,15.543112,20.71547,17.923666
27.238847,34.901733,17.767829,19.658329,18.321356,22.947661,19.864061
24.265928,38.314957,24.386267,27.175507,24.779087,27.255178,22.84022
33.974289,44.936281,29.282417,32.045617,31.632717,29.366981,23.725862
29.178011,45.32374,29.982845,31.609665,34.620315,28.456733,22.60197
33.401454,37.251978,27.671796,29.437836,31.946915,25.37691,20.277555
24.405729,37.803202,24.823655,26.378895,27.646201,21.863282,17.758649
23.607423,29.005145,20.011149,21.222709,22.300798,19.038327,15.469973
15.955161,22.670516,15.516723,16.407803,17.647207,13.754632,11.964963
15.248614,18.727161,10.612602,11.138342,12.244665,11.108234,10.008969
13.851997,11.189723,8.631554,9.018314,9.781746,9.422945,8.495512
11.074929,11.784782,7.874675,8.200195,8.778466,8.193959,7.275689
10.784211,7.924368,7.680822,8.000862,8.582521,7.435837,6.552387
9.484875,7.617282,7.470672,7.774252,8.292102,7.409003,6.502156
10.482273,11.241638,8.535716,8.884656,9.475414,8.843178,7.429522
12.577674,20.990987,14.027791,14.800571,16.470642,12.974149,10.545811
17.041007,42.224861,17.045061,18.623601,21.492922,15.214944,12.161126
32.419766,46.281586,17.75326,19.17336,17.556215,18.390289,15.1281
35.849451,55.974056,12.997326,13.657566,14.129816,19.521537,14.803472
41.586394,42.90332,13.243626,13.772686,16.61917,19.855888,18.188938
39.107806,38.798315,12.090593,12.619633,13.072596,21.628801,19.133857
40.674696,22.534027,11.854069,12.379249,12.915546,21.71158,18.262684
26.326896,16.19804,12.202314,12.767854,13.620411,19.875319,16.983384
22.636763,20.618241,12.79867,13.48331,14.296205,19.806483,17.068614
19.824648,14.997305,13.934663,14.995303,15.354572,20.71547,17.923666
20.478694,26.449137,17.437884,19.328384,18.321356,22.759121,19.675521
23.918295,28.668665,24.244862,27.034102,24.637682,27.066638,22.793085
27.972967,45.13466,29.141012,31.904212,31.255637,29.225576,23.443052
28.050424,38.885708,29.982845,31.609665,34.620315,28.221058,22.31916
29.073219,41.857591,27.671796,29.437836,31.946915,25.18837,20.13615
25.124743,29.146193,24.823655,26.378895,27.646201,21.863282,17.758649
19.221705,23.045459,20.011149,21.222709,22.300798,19.038327,15.469973
13.397497,18.03703,15.516723,16.407803,17.647207,13.754632,11.964963
13.773008,11.137054,10.612602,11.138342,12.244665,11.108234,10.008969
10.904577,9.01418,8.631554,9.018314,9.781746,9.422945,8.495512
11.45741,8.158877,7.874675,8.200195,8.778466,8.193959,7.275689
9.534434,7.924368,7.680822,8.000862,8.582521,7.435837,6.552387
9.419604,7.617282,7.470672,7.774252,8.292102,7.409003,6.502156
9.233973,9.624602,8.535716,8.884656,9.475414,8.843178,7.429522
12.510213,13.558909,12.034747,12.807527,13.979337,12.974149,10.545811
14.173184,19.884526,15.550278,17.128818,19.499878,15.214944,12.161126
15.160268,17.390957,14.265433,15.685533,17.556215,16.397245,13.135056
16.171324,14.066317,11.502543,12.162783,12.635033,17.528493,14.305211
19.262555,12.606193,11.748843,12.277903,12.633082,18.361105,15.199372
18.438488,12.764239,12.090593,12.619633,13.072596,19.137496,16.144291
20.410373,13.870044,11.854069,12.379249,12.915546,19.718536,16.767901
19.491504,13.723758,12.202314,12.767854,13.620411,19.875319,16.983384
19.181996,17.89394,12.79867,13.48331,14.296205,19.806483,17.068614
18.119616,16.178406,13.934663,14.995303,15.354572,20.71547,17.923666
21.517621,22.607916,17.437884,19.328384,18.321356,22.759121,19.675521
22.057796,27.821801,24.244862,27.034102,24.637682,27.066638,22.793085
25.611049,33.463485,29.141012,31.904212,31.255637,29.225576,23.443052
28.212923,39.284449,29.982845,31.609665,34.620315,28.221058,22.31916
25.851967,34.05997,27.671796,29.437836,31.946915,25.18837,20.13615
24.525259,31.601607,24.823655,26.378895,27.646201,21.863282,17.758649
18.48175,21.354865,20.011149,21.222709,22.300798,19.038327,15.469973
14.679047,16.452915,15.516723,16.407803,17.647207,13.754632,11.964963
11.18475,11.137054,10.612602,11.138342,12.244665,11.108234,10.008969
9.854941,9.01418,8.631554,9.018314,9.781746,9.422945,8.495512
8.800351,9.340322,7.874675,8.200195,8.778466,8.193959,7.275689
8.02637,8.711998,7.680822,8.000862,8.582521,7.435837,6.552387
7.884843,10.373987,7.470672,7.774252,8.292102,7.409003,6.502156
11.224978,9.799985,8.535716,8.884656,9.475414,8.843178,7.429522
12.87816,17.335198,12.034747,12.807527,13.979337,12.974149,10.545811
16.122119,19.188996,15.550278,17.128818,19.499878,15.214944,12.161126
18.451704,23.402746,14.265433,15.685533,17.556215,16.397245,13.135056
17.841823,15.691491,11.502543,12.162783,12.635033,17.528493,14.305211
